title,budget,revenue
L'Enfer,0.0,595618.0
Like Water for Chocolate,0.0,0.0
Legends of the Fall,30000000.0,160638883.0
Major Payne,0.0,30112050.0
Little Odessa,0.0,0.0
Mi Vida Loca,0.0,3267313.0
Love Affair,60000000.0,18300000.0
Losing Isaiah,17000000.0,7603766.0
The Madness of King George,0.0,15238994.0
Mary Shelley's Frankenstein,45000000.0,112000000.0
Man of the House,0.0,0.0
Mixed Nuts,15000000.0,0.0
Milk Money,0.0,18137661.0
Miracle on 34th Street,630000.0,2700000.0
Miami Rhapsody,0.0,5.0
My Family,0.0,0.0
Murder in the First,20000000.0,29500000.0
Nobody's Fool,20000000.0,39491975.0
Nell,31000000.0,106683817.0
New Jersey Drive,5000000.0,0.0
New York Cop,0.0,0.0
Beyond Bedlam,4800000.0,0.0
Nemesis 2 - Nebula,0.0,0.0
Nina Takes a Lover,0.0,0.0
Natural Born Killers,34000000.0,50283563.0
Only You,0.0,0.0
Once Were Warriors,950000.0,6700000.0
Poison Ivy II: Lily,0.0,0.0
Outbreak,50000000.0,189900000.0
Leon: The Professional,16000000.0,45284974.0
The Perez Family,11000000.0,2832826.0
A Pyromaniac's Love Story,0.0,345972.0
Pulp Fiction,8000000.0,213928762.0
Panther,0.0,6834525.0
Pushing Hands,400000.0,152322.0
Priest,60000000.0,78309131.0
Quiz Show,31000000.0,24822619.0
Picture Bride,0.0,0.0
Queen Margot,0.0,0.0
The Quick and the Dead,0.0,0.0
Roommates,0.0,0.0
Prêt-à-Porter,15000000.0,11300653.0
Three Colors: Red,0.0,4127033.0
Three Colors: Blue,0.0,1527572.0
Three Colors: White,0.0,1273525.0
"Red Firecracker, Green Firecracker",0.0,0.0
Rent-a-Kid,0.0,0.0
Relative Fear,0.0,0.0
Stuart Saves His Family,6300000.0,912082.0
The Swan Princess,20000000.0,9771658.0
The Secret of Roan Inish,5700000.0,6160000.0
The Specialist,45000000.0,170362582.0
Stargate,55000000.0,196567262.0
The Santa Clause,22000000.0,189833357.0
The Shawshank Redemption,25000000.0,28341469.0
Shallow Grave,0.0,0.0
Suture,0.0,102780.0
Strawberry and Chocolate,0.0,2087569.0
Swimming with Sharks,700000.0,382928.0
The Sum of Us,0.0,0.0
Senior Trip,0.0,0.0
To Live,0.0,5800000.0
Tank Girl,25000000.0,4064495.0
Tales from the Crypt: Demon Knight,13000000.0,21089146.0
Star Trek: Generations,38000000.0,118071125.0
Tales from the Hood,6000000.0,12000000.0
Tom & Viv,0.0,0.0
Village of the Damned,22000000.0,9418365.0
Tommy Boy,20000000.0,32648673.0
Vanya on 42nd Street,0.0,0.0
The Underneath,6500000.0,0.0
The Walking Dead,0.0,6014541.0
What's Eating Gilbert Grape,11000000.0,10000000.0
Virtuosity,30000000.0,24048000.0
While You Were Sleeping,17000000.0,182100000.0
The War,0.0,0.0
Double Happiness,0.0,759393.0
Muriel's Wedding,3000000.0,15119639.0
The Baby-Sitters Club,0.0,0.0
Ace Ventura: Pet Detective,15000000.0,107217396.0
"The Adventures of Priscilla, Queen of the Desert",2000000.0,29700000.0
Backbeat,0.0,0.0
Bitter Moon,5000000.0,1862805.0
Bullets Over Broadway,20000000.0,0.0
Clear and Present Danger,62000000.0,215887717.0
The Client,45000000.0,117615211.0
"Corrina, Corrina",12500000.0,20100000.0
Crooklyn,14000000.0,0.0
The Crow,50000000.0,24109036.0
Cobb,25500000.0,1007583.0
The Flintstones,46000000.0,341631208.0
Forrest Gump,55000000.0,677387716.0
Four Weddings and a Funeral,4400000.0,245700832.0
Higher Learning,20000000.0,38300000.0
I Like It Like That,0.0,1777020.0
I Love Trouble,45000000.0,61947267.0
It Could Happen to You,20000000.0,37939757.0
The Jungle Book,4000000.0,378000000.0
"The Wonderful, Horrible Life of Leni Riefenstahl",0.0,449707.0
The Lion King,260000000.0,1662020819.0
Little Buddha,35000000.0,4900000.0
New Nightmare,8000000.0,18090181.0
The Mask,23000000.0,351583407.0
Maverick,75000000.0,183031272.0
Mrs. Parker and the Vicious Circle,0.0,0.0
The Naked Gun 33⅓: The Final Insult,30000000.0,132032598.0
The Paper,6000000.0,48400000.0
Reality Bites,11500000.0,33351557.0
Red Rock West,8000000.0,2500000.0
Ri¢hie Ri¢h,40000000.0,38087756.0
Safe Passage,0.0,0.0
The River Wild,45000000.0,94216343.0
Speed,30000000.0,350448145.0
Speechless,0.0,20667959.0
Timecop,28000000.0,128953581.0
True Lies,115000000.0,378900000.0
When a Man Loves a Woman,0.0,50021959.0
Wolf,0.0,0.0
Wyatt Earp,63000000.0,25100000.0
Bad Company,70000000.0,65977295.0
A Man of No Importance,0.0,934550.0
S.F.W.,0.0,0.0
A Low Down Dirty Shame,10000000.0,29392418.0
"Boys Life: Three Stories of Love, Lust, and Liberation",,
Colonel Chabert,0.0,0.0
"Faster, Pussycat! Kill! Kill!",45000.0,36122.0
Jason's Lyric,7000000.0,20851521.0
The Secret Adventures of Tom Thumb,0.0,0.0
Street Fighter,0.0,0.0
Coldblooded,0.0,0.0
Desert Winds,0.0,0.0
Fall Time,4000000.0,0.0
The Fear,0.0,0.0
Frank and Ollie,0.0,0.0
Girl in the Cadillac,0.0,0.0
Homage,0.0,0.0
Mirage,0.0,0.0
Open Season,85000000.0,197300000.0
Dos Crímenes,0.0,0.0
Brother Minister: The Assassination of Malcolm X,0.0,0.0
Highlander: The Final Dimension,30000000.0,36738574.0
Federal Hill,0.0,0.0
In the Mouth of Madness,8000000.0,8946600.0
8 Seconds,7000000.0,19623396.0
Above the Rim,0.0,0.0
Addams Family Values,47000000.0,48919043.0
Martin Lawrence: You So Crazy,0.0,0.0
The Age of Innocence,0.0,0.0
Airheads,15000000.0,5751882.0
The Air Up There,17000000.0,21011500.0
Another Stakeout,30000000.0,30008496.0
Bad Girls,0.0,15240435.0
Barcelona,3200000.0,0.0
Being Human,40000000.0,5000000.0
The Beverly Hillbillies,0.0,0.0
Beverly Hills Cop III,50000000.0,119208989.0
Black Beauty,0.0,0.0
Blink,0.0,0.0
Blown Away,28000000.0,30156002.0
Blue Chips,35000000.0,26000000.0
Blue Sky,0.0,0.0
Body Snatchers,13000000.0,428868.0
Boxing Helena,0.0,1800000.0
A Bronx Tale,22000000.0,17287898.0
Cabin Boy,0.0,3662459.0
Calendar Girl,0.0,0.0
Carlito's Way,30000000.0,63800000.0
City Slickers II: The Legend of Curly's Gold,40000000.0,72000000.0
Clean Slate,0.0,7355425.0
Cliffhanger,70000000.0,255000211.0
Coneheads,33000000.0,21274717.0
Color of Night,40000000.0,19700000.0
Cops & Robbersons,0.0,11391093.0
The Cowboy Way,0.0,0.0
Dangerous Game,0.0,0.0
Dave,28000000.0,92000000.0
Dazed and Confused,6900000.0,8259076.0
Demolition Man,57000000.0,58055768.0
The Endless Summer 2,0.0,2155385.0
Even Cowgirls Get the Blues,8000000.0,0.0
Fatal Instinct,0.0,0.0
Farewell My Concubine,4000000.0,6400000.0
The Favor,13000000.0,3134081.0
Fearless,20000000.0,7000000.0
Fear of a Black Hat,1000000.0,233824.0
With Honors,0.0,20016254.0
Flesh and Bone,0.0,9709451.0
Widows' Peak,0.0,0.0
For Love or Money,0.0,0.0
The Firm,0.0,0.0
Free Willy,20000000.0,153698625.0
Fresh,0.0,0.0
The Fugitive,0.0,0.0
Geronimo: An American Legend,35000000.0,18635620.0
The Getaway,0.0,30057974.0
Getting Even with Dad,30000000.0,0.0
Go Fish,0.0,0.0
A Good Man in Africa,0.0,0.0
Guilty as Sin,0.0,22886222.0
Hard Target,18000000.0,74189677.0
Heaven & Earth,33000000.0,5900000.0
Hot Shots! Part Deux,25000000.0,133752825.0
Live Nude Girls,0.0,0.0
The Englishman Who Went Up a Hill But Came Down a Mountain,0.0,0.0
The House of the Spirits,25000000.0,6265311.0
House Party 3,0.0,0.0
The Hudsucker Proxy,25000000.0,2800000.0
I'll Do Anything,40000000.0,0.0
In the Army Now,0.0,28881266.0
In the Line of Fire,40000000.0,177000000.0
In the Name of the Father,13000000.0,65796862.0
The Inkwell,0.0,8880705.0
What's Love Got to Do with It,15000000.0,39100000.0
Jimmy Hollywood,30000000.0,3800000.0
Judgment Night,21000000.0,12136938.0
Jurassic Park,0.0,0.0
Kalifornia,9000000.0,2395231.0
Killing Zoe,1500000.0,418961.0
King of the Hill,8000000.0,1214231.0
Lassie,0.0,9979683.0
Last Action Hero,85000000.0,137300000.0
Life With Mikey,2000000.0,12440858.0
Lightning Jack,95000000.0,226497209.0
M. Butterfly,17000000.0,1499795.0
Made in America,22000000.0,104942695.0
Malice,20000000.0,46405336.0
The Man without a Face,20000000.0,36560338.0
Manhattan Murder Mystery,13500000.0,11285588.0
Menace II Society,3500000.0,27900000.0
Executive Decision,55000000.0,121969216.0
In the Realm of the Senses,0.0,0.0
What Happened Was...,0.0,0.0
Much Ado About Nothing,0.0,4327764.0
Mr. Jones,0.0,0.0
Mr. Wonderful,0.0,3125424.0
Mrs. Doubtfire,25000000.0,441286195.0
Naked,0.0,1769305.0
The Next Karate Kid,12000000.0,15876353.0
The New Age,65000000.0,215905815.0
No Escape,5000000.0,54400000.0
North,40000000.0,0.0
Orlando,4000000.0,5377643.0
A Perfect World,30000000.0,135100000.0
Philadelphia,26000000.0,206678440.0
The Piano,0.0,0.0
Poetic Justice,14000000.0,27515786.0
The Program,0.0,23042200.0
The Puppet Masters,15000000.0,8600000.0
Radioland Murders,0.0,0.0
The Ref,11000000.0,11400000.0
The Remains of the Day,11500000.0,23240144.0
Renaissance Man,40000000.0,24332324.0
Rising Sun,1500000.0,0.0
The Road to Wellville,25000000.0,26000000.0
RoboCop 3,22000000.0,10696210.0
Robin Hood: Men in Tights,20000000.0,35739755.0
Romeo Is Bleeding,11500000.0,3275585.0
Romper Stomper,1600000.0,3300000.0
Ruby in Paradise,800000.0,1001437.0
Rudy,12000000.0,22800000.0
The Saint of Fort Washington,0.0,0.0
Savage Nights,0.0,0.0
Schindler's List,22000000.0,321365567.0
The Scout,20000000.0,2694234.0
Searching for Bobby Fischer,12000000.0,7266383.0
Second Best,0.0,86115.0
The Secret Garden,18000000.0,40000000.0
Serial Mom,13000000.0,7820688.0
The Shadow,25000000.0,48100000.0
Shadowlands,0.0,0.0
Short Cuts,0.0,6110979.0
A Simple Twist of Fate,0.0,0.0
Sirens,0.0,7770731.0
Six Degrees of Separation,15000000.0,6284090.0
Sleepless in Seattle,21000000.0,227799884.0
Sliver,40000000.0,116300000.0
Blade Runner,150000000.0,259239658.0
Son in Law,0.0,36448200.0
So I Married an Axe Murderer,20000000.0,11585483.0
Striking Distance,0.0,0.0
Harem,0.0,0.0
Super Mario Bros.,48000000.0,20915465.0
Surviving the Game,7400000.0,7690013.0
Terminal Velocity,50000000.0,16478900.0
Thirty Two Short Films About Glenn Gould,0.0,0.0
Threesome,0.0,14815317.0
The Nightmare Before Christmas,18000000.0,75634409.0
The Three Musketeers,4474000.0,8412000.0
Tombstone,25000000.0,56500000.0
Trial by Jury,0.0,0.0
True Romance,12500000.0,12600000.0
The War Room,0.0,901668.0
The Pagemaster,27000000.0,13670688.0
"Paris, France",0.0,0.0
"The Beans of Egypt, Maine",0.0,0.0
Killer,0.0,0.0
Welcome to the Dollhouse,800000.0,5034794.0
Germinal,0.0,0.0
Chasers,0.0,0.0
Cronos,0.0,0.0
Naked in New York,5000000.0,1038959.0
Kika,0.0,2019069.0
Bhaji on the Beach,0.0,0.0
Little Big League,0.0,0.0
The Slingshot,0.0,308368.0
Wide Eyed and Legless,0.0,0.0
Foreign Student,0.0,0.0
"Ciao, Professore!",0.0,0.0
Spanking the Monkey,200000.0,0.0
The Little Rascals,0.0,67308282.0
À la mode,0.0,0.0
Andre,0.0,0.0
The Escort,0.0,0.0
Princess Caraboo,0.0,3021629.0
The Celluloid Closet,0.0,1400591.0
Café au Lait,0.0,0.0
Dear Diary,0.0,0.0
I Don't Want to Talk About It,0.0,249530.0
The Brady Bunch Movie,12000000.0,46576136.0
Home Alone,18000000.0,476684675.0
Ghost,22000000.0,505000000.0
Aladdin,183000000.0,1054300000.0
Terminator 2: Judgment Day,102000000.0,520000000.0
Dances with Wolves,22000000.0,424208848.0
Tough and Deadly,0.0,0.0
Batman,35000000.0,411348924.0
The Silence of the Lambs,19000000.0,272742922.0
Snow White and the Seven Dwarfs,1488423.0,184925486.0
Beauty and the Beast,25000000.0,424967620.0
Pinocchio,0.0,0.0
Pretty Woman,0.0,0.0
Window to Paris,0.0,0.0
The Wild Bunch,6244087.0,638641.0
Love and a .45,0.0,0.0
The Wooden Man's Bride,0.0,0.0
A Great Day in Harlem,0.0,527034.0
Bye Bye Love,0.0,0.0
One Fine Day,0.0,97529550.0
Candyman: Farewell to the Flesh,0.0,13940383.0
Century,0.0,7271.0
Fargo,7000000.0,60611975.0
Homeward Bound II: Lost in San Francisco,0.0,32709423.0
Heavy Metal,9300000.0,20118654.0
Hellraiser: Bloodline,4000000.0,16675000.0
The Pallbearer,8000000.0,5656388.0
Jane Eyre,13000000.0,34710627.0
Loaded,0.0,0.0
Bread and Chocolate,0.0,0.0
The Aristocats,4000000.0,191000000.0
The Flower of My Secret,4500000.0,19000000.0
Two Much,24000000.0,1141556.0
Ed,24000000.0,4400000.0
Scream of Stone,0.0,0.0
My Favorite Season,0.0,0.0
A Modern Affair,0.0,0.0
Condition Red,0.0,0.0
Halfaouine: Boy of the Terraces,0.0,0.0
A Thin Line Between Love and Hate,8000000.0,34746109.0
The Last Supper,0.0,0.0
Primal Fear,30000000.0,102600000.0
Rude,0.0,0.0
Carried Away,0.0,0.0
All Dogs Go to Heaven 2,0.0,8620678.0
Land and Freedom,0.0,0.0
Denise Calls Up,0.0,0.0
Theodore Rex,33500000.0,0.0
A Family Thing,0.0,10125417.0
Frisk,0.0,0.0
Sgt. Bilko,39000000.0,37956793.0
Jack & Sarah,0.0,218626.0
Girl 6,12000000.0,4939939.0
Diabolique,45000000.0,52400000.0
"Little Indian, Big City",0.0,0.0
Roula,0.0,0.0
Peanuts – Die Bank zahlt alles,0.0,0.0
Happy Weekend,0.0,0.0
Nelly and Monsieur Arnaud,0.0,0.0
Courage Under Fire,46000000.0,100900000.0
Mission: Impossible,178000000.0,791658205.0
Cold Fever,0.0,0.0
Moll Flanders,0.0,3486578.0
The Superwife,0.0,0.0
"301, 302",0.0,0.0
DragonHeart,57000000.0,115267375.0
Und keiner weint mir nach,0.0,0.0
My Mother's Courage,0.0,0.0
Eddie,0.0,0.0
Yankee Zulu,0.0,0.0
Billy's Holiday,0.0,0.0
Purple Noon,0.0,0.0
August,0.0,0.0
James and the Giant Peach,38000000.0,28946127.0
Fear,0.0,2100000.0
Kids in the Hall: Brain Candy,0.0,0.0
Faithful,13000000.0,2104439.0
Underground,0.0,0.0
All Things Fair,0.0,0.0
Bloodsport II,0.0,684351.0
Pather Panchali,0.0,536364.0
The World of Apu,0.0,134241.0
Mystery Science Theater 3000: The Movie,5000000.0,1000000.0
Tarantella,120.0,0.0
Space Jam,80000000.0,250200000.0
Barbarella,9000000.0,2500000.0
Hostile Intentions,0.0,0.0
They Bite,130000.0,0.0
Some Folks Call It a Sling Blade,0.0,0.0
The Run of the Country,0.0,0.0
Alphaville,220000.0,46585.0
Coup de Torchon,0.0,0.0
Tigrero: A Film That Was Never Made,0.0,0.0
The Eye of Vichy,0.0,0.0
Windows,0.0,2128898.0
It's My Party,0.0,622503.0
Country Life,0.0,0.0
Operation Dumbo Drop,0.0,0.0
The Promise,90000000.0,12448676.0
Mrs. Winterbourne,25000000.0,10082005.0
Solo,0.0,0.0
Under The Domim Tree,0.0,0.0
The Substitute,0.0,0.0
True Crime,0.0,0.0
Butterfly Kiss,0.0,0.0
Feeling Minnesota,0.0,0.0
Delta of Venus,0.0,63174.0
To Cross the Rubicon,0.0,0.0
Angus,0.0,0.0
Priest Daens,0.0,0.0
Faces,275000.0,0.0
Boys,0.0,516349.0
The Quest,30000000.0,57400547.0
Cosi,0.0,35918.0
Sunset Park,0.0,0.0
Mulholland Falls,29000000.0,11500000.0
The Truth About Cats & Dogs,0.0,3407.0
Oliver & Company,31000000.0,121000000.0
Celtic Pride,0.0,0.0
Flipper,25530000.0,20080020.0
Captives,0.0,0.0
Of Love and Shadows,0.0,0.0
Dead Man,9000000.0,1038000.0
The Horseman on the Roof,35000000.0,15000000.0
Switchblade Sisters,0.0,0.0
Mouth to Mouth,500.0,0.0
The Visitors,0.0,0.0
Multiplicity,45000000.0,21075014.0
"The Haunted World of Edward D. Wood, Jr.",0.0,0.0
Two Friends,0.0,0.0
The Craft,15000000.0,24800000.0
The Great White Hype,0.0,0.0
Last Dance,120000000.0,478103649.0
Cold Comfort Farm,0.0,0.0
"Institute Benjamenta, or This Dream People Call Human Life",0.0,0.0
Heaven's Prisoners,25000000.0,5009305.0
Original Gangstas,4800000.0,3014000.0
The Rock,75000000.0,335062621.0
Getting Away with Murder,0.0,0.0
Cemetery Man,4000000.0,0.0
Twister,92000000.0,494471524.0
Barb Wire,9000000.0,3793614.0
Le Garçu,0.0,0.0
Honeymoon,1000000.0,9318.0
Ghost in the Shell,110000000.0,169801921.0
Thinner,8000000.0,15315484.0
Spy Hard,18000000.0,27000000.0
Brothers in Trouble,0.0,0.0
A Close Shave,0.0,4638.0
Force of Evil,0.0,0.0
The Stupids,25000000.0,2491989.0
The Arrival,25000000.0,14063331.0
The Man from Down Under,0.0,0.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9500000.0
Careful,0.0,0.0
Vermont Is for Lovers,0.0,0.0
A Month by the Lake,0.0,2101087.0
Gold Diggers: The Secret of Bear Mountain,0.0,6029091.0
Kim,0.0,0.0
Carmen Miranda: Bananas Is My Business,0.0,0.0
Ashes of Time,0.0,0.0
The Jar,0.0,0.0
Maya Lin: A Strong Clear Vision,0.0,0.0
Stalingrad,0.0,152972.0
The Phantom,45000000.0,17323326.0
Striptease,50000000.0,113309743.0
The Last of the High Kings,0.0,0.0
Heavy,0.0,0.0
Jack,45000000.0,58620973.0
I Shot Andy Warhol,0.0,1814290.0
