id,avg_rating,total_ratings,std_dev,last_rated
1,3.8724696356275303,247,0.9589814920649079,1475783711
2,3.4018691588785046,107,0.8807138301648417,1470073353
3,3.1610169491525424,59,1.1501149791325278,1471385241
4,2.3846153846153846,13,0.9388345202485134,1090908852
5,3.267857142857143,56,0.9485121636939214,1471385747
6,3.8846153846153846,104,0.8309275704499349,1471386884
7,3.2830188679245285,53,1.1029219668778798,1462639898
8,3.8,5,1.6431676725154982,1049685242
9,3.15,20,0.812727700887249,1016317600
10,3.4508196721311477,122,0.76980687732063,1471385100
11,3.6890243902439024,82,0.8945660507479914,1462947988
12,2.861111111111111,18,1.108862102968035,1448813887
13,3.9375,8,0.9797047660246574,1470167166
14,3.4516129032258065,31,0.7784047652054962,1352656620
15,2.3181818181818183,11,0.9020179397530649,1462635671
16,3.9488636363636362,88,0.8776921564085594,1471386880
17,3.9244186046511627,86,0.9283680870546767,1462744286
18,3.2884615384615383,26,1.1846778205324597,1471388600
19,2.597826086956522,92,1.0798838216785085,1471387811
20,2.5384615384615383,13,1.2659242088545835,1471578972
21,3.536842105263158,95,1.0112192589629847,1470350794
22,3.3552631578947367,38,0.9649807079491706,1439584210
23,3.090909090909091,22,0.9466276438515284,1448798511
24,3.0441176470588234,34,1.1439408695437354,1462644086
25,3.742574257425743,101,1.0807725509702275,1442495673
26,4.1,5,0.8944271909999159,1082754003
27,3.142857142857143,7,0.6900655593423543,993089400
28,4.083333333333333,18,0.8089572082044157,1387829869
29,4.025,40,0.8082110666188185,1467004961
30,4.05,10,0.955975359979999,1109969948
31,3.1785714285714284,42,0.8397257723937617,1471385561
32,3.923469387755102,196,0.8362064547439952,1471384581
34,3.6013513513513513,148,1.0737426747106402,1471386491
35,3.5454545454545454,11,0.8201995322647243,974843294
36,3.9375,104,0.8115892954358253,1475784355
37,2.0,2,1.4142135623730951,959976593
38,2.0,2,1.4142135623730951,1019227804
39,3.55,120,0.9601295430804105,1471386519
40,3.9166666666666665,6,0.8010409893798609,1059507590
41,4.021739130434782,23,0.9591457002501238,1165548141
42,2.3333333333333335,9,0.7071067811865476,975419204
43,3.625,12,0.8822749519900761,1460811873
44,2.6973684210526314,38,0.955351029898,1306282507
45,3.5232558139534884,43,0.879349653979285,1471383926
46,3.1666666666666665,12,1.0298573010888745,1039390453
47,4.034825870646766,201,0.9020981623567158,1471384576
48,2.9262295081967213,61,0.9029399462024522,1462638445
49,4.0,2,1.4142135623730951,974712958
50,4.370646766169155,201,0.731904419717486,1472550855
52,3.6372549019607843,51,0.9114737043521829,1460811527
53,5.0,1,,850726154
54,3.6666666666666665,3,0.5773502691896258,945364826
55,3.3333333333333335,6,1.2110601416389966,974842510
57,3.142857142857143,14,0.8644378215075665,1135940915
58,4.0,45,1.0280166252635128,1437001711
59,4.0,2,1.4142135623730951,1048091888
60,2.828125,32,0.8290042122154554,1470720095
61,3.5714285714285716,7,0.5345224838248488,974843382
62,3.689655172413793,87,0.8965093136597909,1460811099
63,2.8333333333333335,6,1.3662601021279464,1351544773
64,2.4,10,0.6992058987801009,995233119
65,2.025,20,1.251052188738491,1325550979
66,2.0,5,1.224744871391589,1019133230
68,3.5,8,0.7559289460184544,974713920
69,3.8181818181818183,22,0.7162311170195085,1351544454
70,3.0208333333333335,48,1.1296691915200234,1471383662
71,2.4285714285714284,7,1.6438920136009396,1439581733
72,3.1666666666666665,6,1.5705625319186327,1183519180
73,4.115384615384615,13,0.9607689228305228,1451527890
74,3.026315789473684,19,0.9497614351118554,1463337048
76,3.3333333333333335,15,0.6986381310057719,1183518573
77,4.0,2,0.0,974715861
78,3.2,10,0.9189365834726815,974842547
79,2.9615384615384617,26,1.1482428046635165,1049683456
80,4.625,4,0.47871355387816894,1055274300
81,3.25,18,0.9739247464587322,1151120724
82,3.8,10,1.0327955589886448,1460811588
83,3.0,3,0.0,898008016
84,4.0,1,,947112271
85,4.0625,16,0.6800735254367721,1155485539
86,3.764705882352941,17,1.0914103126634984,1049685242
87,1.6666666666666667,3,1.1547005383792517,980176907
88,2.891304347826087,23,0.8784868413555108,1471385106
89,3.4411764705882355,17,0.7045023274707932,1462644085
92,3.5416666666666665,12,0.8908201872772114,1139334630
93,2.227272727272727,11,0.9317627477967866,1143548997
94,3.5681818181818183,22,0.6951439478446951,1460811622
95,3.1774193548387095,93,0.8896908393488822,1462639100
96,1.0,1,,891532936
97,3.875,8,0.6943650748294135,1471383765
98,3.0,1,,1406172306
99,2.75,4,2.06155281280883,980194873
100,3.4285714285714284,21,0.9258200997725515,976420764
101,3.8823529411764706,17,0.8009644921262483,1467007782
102,2.590909090909091,11,1.0202495238465399,1062015825
103,4.0,4,0.816496580927726,974844826
104,3.2925531914893615,94,1.0935037267270964,1475806221
105,3.1145833333333335,48,1.0118425542592724,1356316532
107,3.462962962962963,27,1.0088638499848568,1296202861
108,4.0,1,,974713920
110,3.9451754385964914,228,1.023005619593593,1476478090
111,4.22457627118644,118,0.9095820812378914,1471384449
112,3.295918367346939,49,0.8892785427134807,1354044911
113,3.2,5,0.8366600265340756,976421014
114,3.0,1,,857379668
116,4.75,6,0.4183300132670378,1135940972
117,3.0,6,1.2649110640673518,1344427521
118,2.8,5,1.0954451150103321,994458116
119,3.0,1,,976423036
121,3.8,5,0.447213595499958,974832475
122,3.0526315789473686,19,0.6644700654177412,1391353786
123,4.0,7,0.816496580927726,1238950945
124,3.0,1,,848161391
